Customer,date,Consumption Category,Time,value
1,2011-06-10,GC,0:00,0.033
1,2011-04-08,GC,0:00,0.979
1,2011-04-01,GC,0:00,0.613
1,2011-05-23,GC,0:00,0.094
1,2011-06-09,GC,0:00,0.023
1,2011-03-21,GC,0:00,0.817
1,2011-04-23,GC,0:00,0.567
1,2011-05-24,GC,0:00,0.08
1,2011-04-03,GC,0:00,0.585
1,2011-04-04,GC,0:00,0.643
1,2010-07-01,GC,0:00,0.125
1,2011-04-25,GC,0:00,0.621
1,2011-06-08,GC,0:00,0.022
1,2011-05-12,GC,0:00,1.347
1,2011-04-05,GC,0:00,0.585
1,2011-05-25,GC,0:00,0.111
1,2011-04-24,GC,0:00,0.701
1,2011-04-06,GC,0:00,0.636
1,2011-06-01,GC,0:00,0.046
1,2011-05-11,GC,0:00,1.512
1,2010-07-05,GC,0:00,0.378
1,2011-05-15,GC,0:00,1.369
1,2011-04-17,GC,0:00,0.831
1,2011-05-03,GC,0:00,0.482
1,2011-03-18,GC,0:00,0.532
1,2011-06-02,GC,0:00,0.078
1,2011-05-14,GC,0:00,1.501
1,2011-03-08,GC,0:00,0.492
1,2011-03-31,GC,0:00,0.502
1,2011-06-19,GC,0:00,0.633
1,2011-06-11,GC,0:00,0.066
1,2011-05-09,GC,0:00,0.522
1,2011-06-27,GC,0:00,0.036
1,2011-05-08,GC,0:00,0.632
1,2011-03-09,GC,0:00,0.637
1,2011-03-10,GC,0:00,0.787
1,2011-05-28,GC,0:00,0.155
1,2011-04-15,GC,0:00,0.584
1,2011-06-26,GC,0:00,0.091
1,2011-06-25,GC,0:00,0.08
1,2011-03-11,GC,0:00,0.788
1,2011-05-07,GC,0:00,0.568
1,2010-10-14,GC,0:00,0.159
1,2011-06-18,GC,0:00,0.101
1,2010-09-12,GC,0:00,1.26
1,2010-07-08,GC,0:00,0.082
1,2011-02-09,GC,0:00,0.521
1,2011-02-08,GC,0:00,0.547
1,2011-02-07,GC,0:00,0.542
1,2011-02-06,GC,0:00,0.561
1,2010-07-16,GC,0:00,0.74
1,2011-01-06,GC,0:00,0.253
1,2011-01-05,GC,0:00,0.233
1,2010-11-25,GC,0:00,0.135
1,2010-12-06,GC,0:00,0.176
1,2010-12-05,GC,0:00,0.089
1,2010-12-04,GC,0:00,0.155
1,2010-12-03,GC,0:00,0.256
1,2010-12-02,GC,0:00,0.28
1,2010-12-01,GC,0:00,0.161
1,2010-11-30,GC,0:00,0.11
1,2010-11-29,GC,0:00,0.193
1,2010-11-28,GC,0:00,0.208
1,2010-11-27,GC,0:00,0.107
1,2010-12-07,GC,0:00,0.164
1,2010-12-09,GC,0:00,0.16
1,2011-02-12,GC,0:00,1.14
1,2011-02-04,GC,0:00,0.515
1,2011-02-13,GC,0:00,0.631
1,2011-02-19,GC,0:00,0.499
1,2011-03-02,GC,0:00,0.772
1,2011-03-01,GC,0:00,0.514
1,2011-02-28,GC,0:00,0.544
1,2010-07-06,GC,0:00,0.157
1,2011-02-27,GC,0:00,0.551
1,2011-02-26,GC,0:00,0.687
1,2011-02-25,GC,0:00,0.507
1,2011-02-24,GC,0:00,0.486
1,2011-02-23,GC,0:00,0.558
1,2011-02-22,GC,0:00,0.51
1,2011-02-21,GC,0:00,0.641
1,2011-02-20,GC,0:00,0.503
1,2011-02-18,GC,0:00,0.642
1,2011-02-05,GC,0:00,0.429
1,2011-02-17,GC,0:00,0.524
1,2011-02-16,GC,0:00,0.483
1,2011-02-15,GC,0:00,0.657
1,2011-02-14,GC,0:00,0.599
1,2010-08-10,GC,0:00,0.947
1,2010-08-11,GC,0:00,0.743
1,2010-12-08,GC,0:00,0.327
1,2011-02-02,GC,0:00,0.156
1,2010-12-27,GC,0:00,0.068
1,2010-12-26,GC,0:00,0.088
